Score,Sentiment,POS,NEG
1.0,正面,"['多單增加', '多單加碼', '多單增', '空單減碼']",[]
-0.14285714285714285,負面,"['多單增加', '多單增', '空單減碼']","['多單減少', '多單減碼', '多單減', '買賣權']"
1.0,正面,"['多單增加', '多單加碼', '多單增', '空單減碼']",[]
0.2,正面,"['多單增加', '多單增', '空單減碼']","['多單減碼', '多單減']"
1.0,正面,"['多單增加', '多單加碼', '多單增', '空單減碼']",[]
0.0,中性,['買進買權'],['買進賣權']
0.0,中性,"['多單增加', '多單增', '空單減碼']","['多單減少', '多單減碼', '多單減']"
1.0,正面,"['多單增加', '多單增', '賣賣權', '買買權']",[]
0,中性,[],[]
0.2,正面,"['多單增加', '多單加碼', '多單增']","['買賣權', '空單加碼']"
-1.0,負面,[],"['多單縮減', '賣買權', '買權賣']"
-0.42857142857142855,負面,"['多單增加', '多單增']","['多單減少', '多單減碼', '多單減', '買賣權', '空單加碼']"
0,中性,[],[]
-1.0,負面,[],"['多單大減', '買賣權', '賣買權']"
0,中性,[],[]
-1.0,負面,[],['賣買權']
-0.3333333333333333,負面,"['多單增加', '多單增']","['多單減少', '多單減碼', '多單減', '空單加碼']"
0.2,正面,"['多單增加', '多單增', '空單減碼']","['多單減碼', '多單減']"
0,中性,[],[]
0.0,中性,['賣賣權'],['買權賣']
0.0,中性,"['多單增加', '多單加碼', '多單增']","['多單減少', '多單減', '空單加碼']"
-1.0,負面,[],"['多單減少', '多單減碼', '多單減', '空單加碼']"
0.6,正面,"['多單增加', '多單加碼', '多單增', '空單減碼']",['買賣權']
-0.42857142857142855,負面,"['多單增加', '多單增']","['多單減少', '多單減碼', '多單減', '買賣權', '空單加碼']"
-1.0,負面,[],"['買進賣權', '賣出買權', '買權賣']"
1.0,正面,"['賣賣權', '買買權']",[]
0,中性,[],[]
0.6,正面,"['多單增加', '多單加碼', '多單增', '空單減碼']",['買賣權']
0,中性,[],[]
0,中性,[],[]
-1.0,負面,[],"['多單減少', '多單減碼', '多單減', '買賣權', '空單加碼']"
-0.5,負面,['空單減碼'],"['多單減少', '多單減碼', '多單減']"
-0.5,負面,['空單減碼'],"['多單減少', '多單減碼', '多單減']"
0,中性,[],[]
0,中性,[],[]
1.0,正面,"['多單增加', '多單增']",[]
-0.14285714285714285,負面,"['多單增加', '多單增', '空單減碼']","['多單減少', '多單減碼', '多單減', '買賣權']"
0,中性,[],[]
-1.0,負面,[],"['多單減少', '多單減', '賣買權']"
0.0,中性,"['多單增加', '多單加碼', '多單增']","['多單減少', '多單減', '空單加碼']"
-0.14285714285714285,負面,"['多單增加', '多單增', '空單減碼']","['多單減少', '多單減碼', '多單減', '買賣權']"
-0.14285714285714285,負面,"['多單增加', '多單增', '空單減碼']","['多單減少', '多單減碼', '多單減', '買賣權']"
0,中性,[],[]
-0.5,負面,['多單加碼'],"['多單減少', '多單減', '空單加碼']"
0.5,正面,"['多單增加', '多單加碼', '多單增']",['空單加碼']
0,中性,[],[]
0.0,中性,"['多單增加', '多單增', '空單減碼']","['多單減碼', '多單減', '買賣權']"
0,中性,[],[]
-0.6,負面,['多單加碼'],"['多單減少', '多單減', '買賣權', '空單加碼']"
0.0,中性,"['多單增加', '多單增']","['多單減少', '多單減']"
1.0,正面,"['多單增加', '多單加碼', '多單增', '空單減碼']",[]
0,中性,[],[]
0,中性,[],[]
0.5,正面,"['多單增加', '多單加碼', '多單增']",['空單加碼']
1.0,正面,"['多單大增', '賣賣權', '買買權']",[]
0,中性,[],[]
-0.5,負面,['多單加碼'],"['多單減少', '多單減', '空單加碼']"
0,中性,[],[]
0,中性,[],[]
1.0,正面,"['多單增加', '多單加碼', '多單增', '空單減碼']",[]
-1.0,負面,[],"['多單減少', '多單減碼', '多單減', '空單加碼']"
0,中性,[],[]
0.2,正面,"['多單增加', '多單增', '空單減碼']","['多單減碼', '多單減']"
0.2,正面,"['多單增加', '多單加碼', '多單增']","['買賣權', '空單加碼']"
0.3333333333333333,正面,"['賣賣權', '買買權']",['多單縮減']
1.0,正面,"['多單增加', '多單加碼', '多單增', '空單減碼']",[]
-1.0,負面,[],"['多單減少', '多單減', '買賣權', '買權賣']"
0.0,中性,"['多單增加', '多單加碼', '多單增']","['多單減少', '多單減', '空單加碼']"
0,中性,[],[]
-1.0,負面,[],"['多單縮減', '買賣權', '賣買權']"
0.3333333333333333,正面,"['多單增加', '多單增']",['賣買權']
1.0,正面,"['賣賣權', '買買權']",[]
0,中性,[],[]
0.0,中性,"['多單增加', '多單增']","['賣買權', '買權賣']"
0.0,中性,"['多單增加', '多單增']","['賣買權', '買權賣']"
-1.0,負面,[],"['多單減少', '多單減碼', '多單減', '空單加碼']"
0,中性,[],[]
0,中性,[],[]
0.0,中性,"['多單增加', '多單增']","['多單減少', '多單減']"
1.0,正面,"['多單增加', '多單增']",[]
0.0,中性,"['多單增加', '多單加碼', '多單增']","['多單減少', '多單減', '空單加碼']"
1.0,正面,"['多單增加', '多單加碼', '多單增', '空單減碼']",[]
-1.0,負面,[],"['多單減少', '多單減碼', '多單減', '空單加碼']"
0,中性,[],[]
0.6,正面,"['多單增加', '多單加碼', '多單增', '空單減碼']",['買賣權']
0,中性,[],[]
-0.6,負面,['多單加碼'],"['多單減少', '多單減', '買賣權', '空單加碼']"
0.0,中性,"['多單增加', '多單增', '空單減碼']","['多單減少', '多單減碼', '多單減']"
0,中性,[],[]
0,中性,[],[]
1.0,正面,['賣賣權'],[]
0.0,中性,['買進買權'],['買進賣權']
0,中性,[],[]
0.0,中性,"['多單增加', '多單增', '空單減碼']","['多單減少', '多單減碼', '多單減']"
-0.5,負面,['多單加碼'],"['多單減少', '多單減', '空單加碼']"
0,中性,[],[]
0.0,中性,"['多單增加', '多單增', '空單減碼']","['多單減碼', '多單減', '買賣權']"
0.3333333333333333,正面,"['多單增加', '多單增']",['賣買權']
0,中性,[],[]
0.0,中性,"['多單增加', '多單加碼', '多單增']","['多單減少', '多單減', '空單加碼']"
-0.3333333333333333,負面,"['多單增加', '多單增']","['多單減少', '多單減碼', '多單減', '空單加碼']"
-1.0,負面,[],"['多單減少', '多單減碼', '多單減', '空單加碼']"
0,中性,[],[]
-1.0,負面,[],"['多單縮減', '賣買權', '買權賣']"
0.0,中性,"['多單增加', '多單增', '空單減碼']","['多單減少', '多單減碼', '多單減']"
0.6,正面,"['多單增加', '多單增', '賣賣權', '買買權']",['買權賣']
-1.0,負面,[],"['多單減少', '多單減碼', '多單減', '空單加碼']"
-1.0,負面,[],"['賣買權', '買權賣']"
-0.3333333333333333,負面,"['多單增加', '多單增']","['多單減少', '多單減碼', '多單減', '空單加碼']"
0.0,中性,"['多單增加', '多單加碼', '多單增']","['多單減少', '多單減', '空單加碼']"
0,中性,[],[]
1.0,正面,"['多單增加', '多單增', '賣賣權']",[]
1.0,正面,"['多單增加', '多單加碼', '多單增', '空單減碼']",[]
0.0,中性,"['多單增加', '多單增', '空單減碼']","['多單減少', '多單減碼', '多單減']"
0.0,中性,"['多單增加', '多單增']","['賣買權', '買權賣']"
0.0,中性,"['多單增加', '多單增', '空單減碼']","['多單減少', '多單減碼', '多單減']"
0,中性,[],[]
-1.0,負面,[],"['多單縮減', '賣買權', '買權賣']"
1.0,正面,"['多單增加', '多單增', '賣賣權']",[]
0,中性,[],[]
0.2,正面,"['多單增加', '多單加碼', '多單增']","['買賣權', '空單加碼']"
1.0,正面,"['多單增加', '多單增', '賣賣權', '買買權']",[]
-1.0,負面,[],"['賣買權', '買權賣']"
0.0,中性,"['多單微增', '賣賣權']","['賣權布局', '賣買權']"
0,中性,[],[]
0,中性,[],[]
0.0,中性,"['多單增加', '多單加碼', '多單增']","['多單減少', '多單減', '空單加碼']"
0,中性,[],[]
0,中性,[],[]
0,中性,[],[]
0,中性,[],[]
1.0,正面,"['多單增加', '多單加碼', '多單增', '空單減碼']",[]
0,中性,[],[]
-1.0,負面,[],"['多單減少', '多單減']"
0,中性,[],[]
-1.0,負面,[],"['多單減少', '多單減碼', '多單減', '空單加碼']"
0.3333333333333333,正面,"['多單增加', '多單增']",['賣買權']
-1.0,負面,[],"['多單縮減', '賣買權']"
-1.0,負面,[],"['多單縮減', '賣買權', '買權賣']"
0,中性,[],[]
0,中性,[],[]
0,中性,[],[]
0.0,中性,"['多單增加', '多單增', '空單減碼']","['多單減少', '多單減碼', '多單減']"
0,中性,[],[]
1.0,正面,"['多單增加', '多單加碼', '多單增', '空單減碼']",[]
0,中性,[],[]
0,中性,[],[]
0.0,中性,"['多單增加', '多單加碼', '多單增']","['多單減少', '多單減', '空單加碼']"
0,中性,[],[]
-0.5,負面,['空單減碼'],"['多單減少', '多單減碼', '多單減']"
0.2,正面,"['多單增加', '多單增', '空單減碼']","['多單減碼', '多單減']"
0.0,中性,"['多單增加', '多單加碼', '多單增']","['多單減少', '多單減', '空單加碼']"
1.0,正面,"['多單增加', '多單加碼', '多單增', '空單減碼']",[]
0,中性,[],[]
0.0,中性,"['多單增加', '多單增', '空單減碼']","['多單減少', '多單減碼', '多單減']"
0,中性,[],[]
0,中性,[],[]
0.3333333333333333,正面,"['賣賣權', '買買權']",['買權賣']
0.6,正面,"['多單增加', '多單加碼', '多單增', '空單減碼']",['空單加碼']
0,中性,[],[]
1.0,正面,"['多單增加', '多單增']",[]
0,中性,[],[]
-1.0,負面,[],"['多單縮減', '賣買權', '買權賣']"
1.0,正面,"['多單增加', '多單加碼', '多單增', '空單減碼']",[]
-1.0,負面,[],"['多單減少', '多單減碼', '多單減', '空單加碼']"
0.3333333333333333,正面,"['多單增加', '多單增', '多單增加為', '賣賣權']","['賣買權', '買權賣']"
0,中性,[],[]
0.0,中性,"['多單增加', '多單增', '空單減碼']","['多單減少', '多單減碼', '多單減']"
1.0,正面,"['多單增加', '多單加碼', '多單增', '空單減碼']",[]
1.0,正面,"['多單增加', '多單加碼', '多單增', '空單減碼']",[]
