ID,Content
0,期貨部分，外資今日重新加碼多單 6077 口，多單未平倉口數重回 49361 口，投信減碼 205 口空單，空單未平倉口數來到 19180 口，自營商減碼 18 口空單，合計空單未平倉口數 120 口。
1,期貨走勢三月份台指期週三上漲 102 點至 10247 點。價差方面，台指期為逆價差 - 25.46 點，電子期逆價差 - 0.39 點，金融期為逆價差 - 2.69 點。現貨部分，三大法人買超 115.27 億元；而在台指期淨部位方面，三大法人淨多單減少 1414 口至 34548 口，其中外資空單減碼超過多單減碼，淨多單增加 5526 口至 65347 口，創 2017 年 9 月 18 日以來新高；十大交易人中的特定法人全月份台指期淨多單增加 2498 口至 35343 口。選擇權分析二月份選擇權結算後，全月份未平倉量 put/call ratio 值仍維持 1.48 的高位，三月份選擇權未平倉量部分，OI 最大量支撐壓力區為 10000~10400 點。VIX 指數下降 0.88 至 13.96。而選擇權結算後，外資目前選擇權淨部位呈現買 Call 賣 Put，整體而言，選擇權籌碼面顯示中性偏多架構。   (永豐期貨研調)二月份選擇權結算後，全月份未平倉量 put/call ratio 值仍維持 1.48 的高位，三月份選擇權未平倉量部分，OI 最大量支撐壓力區為 10000~10400 點。VIX 指數下降 0.88 至 13.96。而選擇權結算後，外資目前選擇權淨部位呈現買 Call 賣 Put，整體而言，選擇權籌碼面顯示中性偏多架構。   (永豐期貨研調)本投資研究報告由永豐期貨股份有限公司版權所有，未經授權，禁止轉載節錄。本資料內容僅供參考，客戶應審慎考量本身之需求與投資風險，本公司恕不負任何法律責任，亦不作任何保證。
2,"◇期貨市場:台指期上漲 174 點或 1.68%，收在 10539 點。電子期上漲 10.45 點或 2.58%。金融期上漲 10.8 點或 0.83%。非金電期上漲 64 點或 0.50%。台指期未平倉餘額，自營商偏空調整 1,259 口，累計為淨空單 2,904 口；投信偏多調整 524 口，累計為淨空單 32,702 口；外資偏多調整 7,074 口，累計為淨多單 47,261 口。台指期逆價差 27.47 點，價差縮小；電子期逆價差 1.11 點，價差縮小；金融期逆價差 2.93 點，價差擴大；非金電期逆價差 54.82 點，價差擴大。週一台指期開高走高，終場則以當日相對高點作收。由Ｋ線觀察，台指期過去一周以來，指數在月線及半年線之間震盪，由於月線向下扣抵，己經與走平的短均線進行會合，並與年線呈現糾結，有利於短線打底，目前在國際股市強彈的帶動下，有利於指數逐底反彈的走勢。"
3,"台股昨 (27) 日在蘋概、5G 族群激勵下，收復 11600 點關卡，隨著美中貿易談判轉趨樂觀、美股持續走揚利多下與外資持續作多，今 (28) 日適逢摩台指結算日，法人可望順勢拉抬盤勢，指數有望突破前波新高點 11668 點。

美中貿易談判協議進入最後階段，加上美經濟數據穩健，振奮市場投資信心，包括道瓊工業、那斯達克、標普 500 等美股三大指數持續同步走揚。美股多頭氣勢擴散至台股，三大法人 27 日淨多單增加 2941 口至 28141 口，其中外資更是加碼多單、減碼空單，顯示對於台股仍持續作多。

產業動態部分，蘋果無線耳機因需求暢旺，加上適逢耶誕假期，市場盛傳蘋果打算提高 AirPods Pro 產量，法人點名看好 AirPods Pro 相關供應鏈包括景碩、宣德、新日興、康控 - KY 等可望受惠。

面板雙虎群創、友達在市場減產、價格止跌帶動下，三大法人聯手加碼下推升股價持續攻高，其中群創股價漲幅高達 7%、友達也有 4% 以上漲幅，法人分析，在資金持續尋找低基期個股布局、短多資金挹注的態勢下，面板雙虎股價短線可望有撐。

法人表示，隨著時序進入年底歐美耶誕假期到來，外資即將放假休市，在美中貿易談判協議進入最後階段、美經濟數據表現持穩加持下多方優勢尚未消退，但要注意的是，美國總統川普已正式簽署《香港人權與民主法案》，牽動中國敏感政治神經，是否為美中貿易談判投下變數，仍待觀察。
 "
4,從外資過去一周的布局來看，賣超金額多達 425.9 億元，創今年以來單周賣超最大，不過，周五外資台指期淨多單增加 8271 口，顯然對後市暫時不悲觀，就看台指期結算後，外資還能不能維持偏多態度。
5,"◇期貨市場:台指期上漲 17 點或 0.16%，收在 10545 點。電子期下跌 0.65 點或 0.16%。金融期上漲 6.8 點或 0.53%。非金電期上漲 73 點或 0.57%。今日外資現貨賣超 37.57 億元。在期貨方面，外資偏多調整 2,853 口，累計為淨多單 44,014 口。期貨約當台幣金額，買超 60.17 億元。台指期正價差 14.46 點，價差擴大；電子期正價差 1.05 點，價差擴大；金融期正價差 2.35 點，價差由負轉正；非金電期正價差 0.84 點，價差由負轉正。週一台指期開平走高，盤中低點來到 10460，一度逼近月線位置，但觸及日低後多方立刻展開反攻，拉出一波超過百點的漲幅，盤中高點來到 10565，終場小幅上漲 17 點。日 K 下影線長達 62 點，顯見多方力道強勁，短期下方月線有撐，建議投資人近期以震盪偏多看待盤勢。"
6,蘇鼎宇表示，觀察指標上，可留意三個訊號：一、外資連續大幅買超，卻無法推升加權指數持續走高；二、單日出現巨量長黑走勢，加權指數跌點逾 150 點、成交值逾 1500 億元；三、外資期貨淨多單部位減至 4 萬口以下，只要三種訊號出現，則意味著台股可能會出現反轉修正風險，投資人不妨以台股反向 ETF 避險，並且保護整體投資組合報酬。外資從 10/14 開始，連 22 日買超台股，創下史上第五長的買超紀錄，將台股從 11066 點，推升到 11/12 的 11520 點，漲約 500 點，11/13 終結連 22 買，但是隔一天又回頭買超，近日再連 5 買，加權指數維持在 11600 點之上震盪。但是，外資在台指期連續偏空操作，截至昨日，淨多單水位已降到 40968 口。
7,美股昨晚漲多震盪，台股今日周三逢台指期結算，在權值股護航下，加權指數創今年新高，台指期拉高結算，終場上漲 39 點，以 10551 作收，成交量 1189 億元，小幅增加。上周回測月線有撐後，上周二說大盤轉強，接著一路上漲創新高，昨日也說，一切攏是為了今日三月台指期結算，結果... 大盤再創新高 10556 點，收盤幾乎拉到最高結算，空方全軍覆沒被軋，多方大獲全勝。接下來... 觀察大盤短線指標已頂到天，出現嚴重超買過熱，是有拉回修正機會，不過時序進入 3 月下旬開始至 4 月下旬，是融券強迫回補高峰之時，對於台股有一定的支撐力道。
8,台指期淨部位方面，三大法人淨多單減少 1187 口至 13562 口，其中外資多單減碼且空單加碼，淨多單減少 1661 口至 51082 口，外資期現貨都持續偏空操作，短線仍不可大意。
9,"◇期貨市場:台指期上漲 40 點或 0.38%，收在 10456 點。電子期上漲 2.2 點或 0.54%。金融期上漲 3.2 點或 0.25%。非金電期上漲 42 點或 0.33%。台指期未平倉餘額，自營商偏多調整 286 口，累計為淨空單 2,837 口；投信偏空調整 1,871 口，累計為淨空單 32,053 口；外資偏空調整 61 口，累計為淨多單 41,759 口。台指期逆價差 5.62 點，價差縮小；電子期正價差 0.11 點，價差由負轉正；金融期正價差 2.97 點，價差由負轉正；非金電期逆價差 39.36 點，價差擴大。週三台指期開高走低，直到 5 日均線附近才止穩，終場則以當日相對低點作收。由Ｋ線觀察，台指期 6/5 開盤雖於月線之上，但隨即遇壓拉回，並收於月線之下，顯示月線反壓仍在，另外由於空方續掌盤勢主控權，故建議投資人保守看待行情。"
10,台股加權指數昨 (21) 日持續上演三軋行情，驚驚漲上 10300 點關卡，終場小漲 47.07 點，來到 10319.53 點，成交值則略縮至 1238 億元，今 (22) 日開盤前，觀察到美股漲多拉回，法人指出，台股面臨上方壓力區，但目前外資期貨淨多單口數已來到 6 萬餘口，作多態度積極，預料指數仍將回補逐步去年 10 月股災的空方缺口。在台指期淨部位方面，三大法人淨多單增加 1592 口至 36140 口，其中，外資淨多單增加 447 口至 65794 口，做多態度濃厚。
11,自營商買超 3.79 億元，投信賣超 3.92 億元，外資及陸資買超 99.39 億元。三大法人合計買超 99.26 億元。而在台指期淨部位方面，三大法人淨多單增加 5274 口至 31939 口，其中外資多單加碼且空單減碼，淨多單增加 6800 口至 63502 口。
12,台股加權指數昨 (14) 日大漲 176.99 點，站穩 11000 點關卡上，三大法人均同步站在買方，短線偏多格局明朗，今 (15) 日開盤前，由於美股投資人對於美中能否簽署階段性協議有疑慮，使美股再度陷入觀望，法人預料台股激情可能因此暫時緩和，尤其是在周三台指期結算和周四台積電法說前夕，可能先呈現觀望盤。三大法人昨日在集中市場合計買超近 200 億元，其中，外資買超近 152 億元，投信買超 5.83 億元，自營商也買超 40.9 億元；而外資期貨淨多單同步加碼 5406 口至 57981 口，籌碼面偏多，有利後市表現。整體而言，元大投顧指出，台指期拉高至 11000 點上方，收盤價改寫波段高點，美中貿易情勢趨緩，再加上美國聯準會宣布購買短債，均帶給大盤一定支撐，短線可留意後續美中正式文件、本周的台積電法說和歐盟峰會。
13,台股加權股價指數昨 (15) 日開低走高，終場上漲 97.82 點，收在 9806.04 點，成交值略放大至 978.25 億元，分析師指出，台股出量衝破季線反壓，顯示多方積極拉抬紅包行情，今 (16) 日逢台指期結算，隨著美股持續上揚，且目前外資期現貨偏多布局，期指拉高結算可期，惟早盤日股走跌超過 0.5%、韓股平盤上下震盪，須留意整體亞股的連動。而在台指期淨部位方面，三大法人淨多單增加 7282 口至 28267 口，其中，外資多單加碼超過空單加碼，淨多單增加 8817 口至 52955 口；十大交易人中的特定法人全月份台指期淨多單增加 10063 口至 27454 口。
14,期貨走勢台指期週二上漲 5 點至 10143 點。價差方面，台指期逆價差擴至 - 9.26 點，電子期轉為逆價差 - 0.52 點，金融期轉為正價差 0.13 點。現貨部分，三大法人買超 37.91 億元；而在台指期淨部位方面，三大法人淨多單增加 1763 口至 35962 口，其中外資多單加碼超過空單加碼，淨多單增加 1033 口至 59821 口；十大交易人中的特定法人全月份台指期淨多單增加 1551 口至 32845 口。選擇權分析選擇權未平倉量部分，OI 最大量支撐壓力區由 10000~10200 點縮至 10100~10200 點，下檔支撐連兩日上移。全月份未平倉量 put/call ratio 值由 1.45 升至 1.48，連三日提升。整體選擇權部位顯示市場為中性偏多架構。   (永豐期貨研調)選擇權未平倉量部分，OI 最大量支撐壓力區由 10000~10200 點縮至 10100~10200 點，下檔支撐連兩日上移。全月份未平倉量 put/call ratio 值由 1.45 升至 1.48，連三日提升。整體選擇權部位顯示市場為中性偏多架構。   (永豐期貨研調)本投資研究報告由永豐期貨股份有限公司版權所有，未經授權，禁止轉載節錄。本資料內容僅供參考，客戶應審慎考量本身之需求與投資風險，本公司恕不負任何法律責任，亦不作任何保證。
15,"◇期貨市場:台指期上漲 2 點或 0.02%，收在 10592 點。電子期上漲 2.25 點或 0.54%。金融期下跌 19.8 點或 1.52%。非金電期下跌 19 點或 0.15%。台指期未平倉餘額，自營商偏空調整 281 口，累計為淨空單 2,205 口；投信偏多調整 1,277 口，累計為淨空單 29,853 口；外資偏多調整 563 口，累計為淨多單 47,698 口。台指期逆價差 23.66 點，價差擴大；電子期逆價差 0.80 點，價差擴大；金融期逆價差 3.73 點，價差由正轉負；非金電期逆價差 23.59 點，價差擴大。週三台指期平盤震盪，當日高低點相差僅 23 點，終場上漲 2 點作收。由Ｋ線觀察，台指期目前收盤位於多條短期均線之上，然而上檔季線施壓，形成一個上壓下撐狀態，觀察成交量與價位呈現價量背離，顯見多方撐盤力道不強，故建議投資人先以區間震盪來看待行情。"
16,在台指期淨部位方面，三大法人淨多單減少 1847 口至 30401 口，其中，外資空單加碼超過多單加碼，淨多單減少 423 口至 59961 口，些微跌破 6 萬口，不過仍在相對高水位。
17,台股昨日最後一盤，多方輕鬆以臨門一腳，闖過 11270 點，讓加權指數以 11271.25 點作收，成交值 1226 億元，僅溫和放大。11270 點穩不穩? 台股還有續航力道? 今天除了股市之外，新台幣匯率的表現將是關鍵。如台幣續升，熱錢派對人氣不散，續航力道無虞，指標股仍是台積電、鴻海與大立光 3 檔帶頭大哥。不過今日有周選擇權結算，仍需提防莊家上沖下洗。關鍵點位為 11212、11246、11270 點。
18,"◇期貨市場:台指期上漲 8 點或 0.08%，收在 10553 點。電子期上漲 0.5 點或 0.12%。金融期上漲 4.4 點或 0.34%。非金電期下跌 6 點或 0.05%。今日外資現貨買超 15.39 億元。在期貨方面，外資偏空調整 1,391 口，累計為淨多單 42,623 口。期貨約當台幣金額，賣超 29.36 億元。台指期逆價差 13.74 點，價差由正轉負；電子期正價差 0.21 點，價差縮小；金融期逆價差 1.06 點，價差由正轉負；非金電期逆價差 38.09 點，價差由正轉負。週二台指期開平走平，盤中些微震盪，終場僅上漲 8 點，仍然走不出盤整態勢，目前價位來到五日線上緣位置，並未做出任何方向性的突破，均線糾結於近期價位，顯然市場多空尚無定論，因此建議投資人近期仍以盤整觀之，待價位有所突破後再順勢操作。"
19,上週五曾分析「大盤下週將有機會攻克年線，週三台指期會在 3 月合約的高檔區結算」。今日台指期結算，大盤在美股開高走低小漲小跌、亞股普遍回檔背景下，依然逆著國際盤如期拉高結算，+39 點續創今年收盤新高 10551，OTC 指數 + 0.27% 站上年線。由於今日次月期貨走法相對現貨疲軟，逆價差出現擴大情形，此外大盤委賣張數偏高且 OTC 指數連續第八天留上影線，盤面多個跡象皆顯示短線空方力道相應增強，因此，結算之後大盤停下腳步休息是正常現象，以上週五低點 10370 作為短線強弱分界點。如果在短線數據開始不利多方的狀況下還可以持續墊高，就表示多頭企圖心頗強，就別擅自預設高點。
20,"◇期貨市場:台指期上漲 86 點或 0.86%，收在 10084 點。電子期上漲 4 點或 1.00%。金融期上漲 7.2 點或 0.60%。非金電期上漲 81 點或 0.67%。台指期未平倉餘額，自營商偏多調整 1,099 口，累計為淨多單 458 口；投信偏多調整 248 口，累計為淨空單 25,901 口；外資偏多調整 5,086 口，累計為淨多單 57,992 口。台指期逆價差 13.74 點，價差擴大；電子期逆價差 0.08 點，價差由正轉負；金融期逆價差 0.57 點，價差縮小；非金電期逆價差 41.25 點，價差擴大。週二台指期早盤跳空開高，指數盤中呈盤堅之姿震盪向上，終場收在今日相對高點。由Ｋ線觀察，目前指數盤面呈現「低點不破前低、高點續過前高」的多頭慣性格局，在盤面短中期均線呈多頭排列與多頭慣性力道的影響下，短線上盤勢將較有利多方發展，故操作上宜以樂觀的態度看待指數後市表現。"
21,外資今日買超 13.4 億元，投信買超 0.5 億元，自營買超 6.4 億元。明日，台指期與選擇權將要結算，多空激戰，震盪難免，目前累積最大未平量在 10400 點與 10500 點，外資期貨今增 1309 口多單，仍有 57383 口淨多單，關建在結算後外資布局態度如何!外資今日買超 13.4 億元，投信買超 0.5 億元，自營買超 6.4 億元。明日，台指期與選擇權將要結算，多空激戰，震盪難免，目前累積最大未平量在 10400 點與 10500 點，外資期貨今增 1309 口多單，仍有 57383 口淨多單，關建在結算後外資布局態度如何!外資今日買超 13.4 億元，投信買超 0.5 億元，自營買超 6.4 億元。明日，台指期與選擇權將要結算，多空激戰，震盪難免，目前累積最大未平量在 10400 點與 10500 點，外資期貨今增 1309 口多單，仍有 57383 口淨多單，關建在結算後外資布局態度如何!
22,台指期今 (20) 日拉高結算，尾盤台積電、鴻海最後一盤拉抬翻紅帶動，台股加權指數終場上漲 39.24 點或 0.37%，收在 10551.56 點，成交金額 1186.67 億元，日 K 線蓮 4 紅。
23,"期貨市場:台指期下跌 6 點或 0.06%，收在 10782 點。電子期下跌 0.85 點或 0.19%。金融期下跌 1.4 點或 0.11%。非金電期上漲 12 點或 0.10%。台指期未平倉餘額，自營商偏空調整 57 口，累計為淨空單 3,131 口；投信偏空調整 9 口，累計為淨空單 23,717 口；外資偏空調整 41 口，累計為淨多單 40,511 口。台指期逆價差 103.73 點，價差縮小；電子期逆價差 3.35 點，價差擴大；金融期逆價差 20.83 點，價差擴大；非金電期逆價差 137.44 點，價差縮小。在本週關鍵的聯準會利率決議及中美第 12 輪貿易談判之前，台股市場觀望氣氛濃厚。週一台股在蘋概股走弱之下，再度陷入狹幅整理，終場小跌作收；期貨方面同樣是震盪整理，終場收十字星線。以日 K 來觀察，週一台指期早盤跌破 10 日均線，但多方隨即拉回，顯示下方十日均線有撐，然而 Vix 指標波動向上，故建議投資人以高檔震盪來看待行情。在本週關鍵的聯準會利率決議及中美第 12 輪貿易談判之前，台股市場觀望氣氛濃厚。週一台股在蘋概股走弱之下，再度陷入狹幅整理，終場小跌作收；期貨方面同樣是震盪整理，終場收十字星線。以日 K 來觀察，週一台指期早盤跌破 10 日均線，但多方隨即拉回，顯示下方十日均線有撐，然而 Vix 指標波動向上，故建議投資人以高檔震盪來看待行情。◆期貨日線◆本報告純屬研究性質，僅供國票金控集團內部同仁及特定客戶參考，不保證其完整性及精確性，且不提供或嘗試遊說客戶作為期貨與選擇權買賣之投資依據，報告中所有的意見與預估，係取自本公司相信為可靠之資料來源，且為特定日期所為之判斷，有其時效性，爾後若有變更，本公司將不做預告或主動更新，投資人於決策時應審慎衡量本身風險，並就投資結果自行負責。以上報告內容之著作權屬國票期貨所有，非經本公司同意，禁止任何形式之抄襲、引用或轉載。◆本報告純屬研究性質，僅供國票金控集團內部同仁及特定客戶參考，不保證其完整性及精確性，且不提供或嘗試遊說客戶作為期貨與選擇權買賣之投資依據，報告中所有的意見與預估，係取自本公司相信為可靠之資料來源，且為特定日期所為之判斷，有其時效性，爾後若有變更，本公司將不做預告或主動更新，投資人於決策時應審慎衡量本身風險，並就投資結果自行負責。以上報告內容之著作權屬國票期貨所有，非經本公司同意，禁止任何形式之抄襲、引用或轉載。"
24,台指期今 (18) 日多頭拉高結算，在權王台積電挑戰歷史新高、股王大立光拉出半根漲停帶動下，挑戰前波高點，不過，今日估計量僅約 1200 億元，依舊未明顯放大。
