ID,Content
0,板塊方面，本地地產及零售、內航、內房、內銀與水泥股表現較好。做空方面，佔大市成交回落至 14.6%。牛熊證街貨最新比例為 58:42，現價上下各 1000 點區間的牛熊比例仍是 45:55。重貨區方面，熊證上移至 27400-27449，牛證則上移至 26650-26699。恆指期貨夜市收報 27075 點，上升 49 點，高水 82 點。港股 ADR 上升 50 點，相等於恆指 27044 點。
1,做空方面，佔大市成交再上升至 16.4%，為 6 月的新高。牛熊證街貨最新比例為 42:58，現價上下各 1000 點區間的牛熊平例是 38:62。重貨區方面，熊證仍在 27150-27199，牛證也不變在 26600-26649。恆指期貨週四夜市收報 26808 點，下跌 40 點，低水 157 點。港股 ADR 上升 270 點，相等於恆指 27236 點。
2,英國首相梅伊希望與工黨黨魁柯賓 (Jeremy Corbyn) 協商，制定脫歐計畫，等同表態支持「軟脫歐」；今 (3) 日歐股盤前，指數期貨漲跌互見。台北時間週三下午 2 點 42 分，Investing.com 報價顯示，歐洲 Stoxx 50 指數期貨上漲 0.36%，英國 FTSE 100 指數期貨下跌 0.05 %，德國 DAX 指數期貨上漲 0.56%，法國 CAC 40 指數期貨上漲 0.69%。
3,彭博社報導，從聯邦基金期貨利率的變化來看，市場認為聯準會 7 月將決定降息，而且是完整的 1 碼。但對於 2019 全年寬鬆的程度，看法比之前來得略為保守一些；但不少交易員仍然認為，今年不會只降息一次。
4,鍾郁婕建議，操作上可運用國內唯一追蹤富時中國 A50 指數之國泰 A50(00636)、國泰 A50 正 2 (00655L) 等 ETF 參與後勢。資金有限的投資人亦可使用 ETF 期權商品，例如國泰中國 A50 ETF 期貨 (OJF) 來參與中國股市，惟從事期權操作，須留意整體風險，設定停損價位。
5,3. 就籌碼的角度來看，新台幣匯率近日連續升破兩個關卡 30.5 與 30.4，強力的升值也讓外資的買超持續，就 10 月至今外資總買超 1474 億，外資近期連 16 買創 2016 年 2 月 25 日以來最長買超紀錄，今日將挑戰 1999 年 9 月寫下的連 17 買紀錄。不過 10 月份至今投信只買超 17.7 億、自營商卻賣超 118 億元，融資增加了 87 億、融券增加 4.9 萬張，就資券變化來看融資軋空手明顯融券屢創新高也正在軋空單，接下來是外資軋空投信與自營商持股不足的現象目前也正在進行中；而外資昨天期貨多單增加 2734 口總多單來到 6.1 萬口這個口數也是創今年的新高，可見外資在匯率升值的背景下期現貨都是積極做多，這一波軋空的氣勢又在美股創歷史新高以及亞股補漲的帶動下很有機會在 20 號台指期結算前就先持續走出軋空，因此在這段軋空屢創新高的走勢下要留意的是台股是否有暴量不漲的現象發生，若有此技術面量價關係出現變化時則是外資有逢高調節獲利出場的跡象。3. 就籌碼的角度來看，新台幣匯率近日連續升破兩個關卡 30.5 與 30.4，強力的升值也讓外資的買超持續，就 10 月至今外資總買超 1474 億，外資近期連 16 買創 2016 年 2 月 25 日以來最長買超紀錄，今日將挑戰 1999 年 9 月寫下的連 17 買紀錄。不過 10 月份至今投信只買超 17.7 億、自營商卻賣超 118 億元，融資增加了 87 億、融券增加 4.9 萬張，就資券變化來看融資軋空手明顯融券屢創新高也正在軋空單，接下來是外資軋空投信與自營商持股不足的現象目前也正在進行中；而外資昨天期貨多單增加 2734 口總多單來到 6.1 萬口這個口數也是創今年的新高，可見外資在匯率升值的背景下期現貨都是積極做多，這一波軋空的氣勢又在美股創歷史新高以及亞股補漲的帶動下很有機會在 20 號台指期結算前就先持續走出軋空，因此在這段軋空屢創新高的走勢下要留意的是台股是否有暴量不漲的現象發生，若有此技術面量價關係出現變化時則是外資有逢高調節獲利出場的跡象。
6,用官方常用的語言，盤勢現在是從「極度樂觀」變為「審慎樂觀」。所以也還沒有到「悲觀」的地步。操作上如果是偏多的操作，不管是股票還是期貨，都應該以短線的心態為之。手中的持股若太多應該要趕快調整，不少中小型股已經明顯的由高檔轉弱，並不是題材消失，而是股價漲多了，先避開這一次可能的回檔後，再等待良機進場，才是現階段應有的態度，祝大家操作順利。
7,板塊方面，手機設備、半導體、5G 概念、醫藥、物管及教育股表現較好。做空方面，佔大市成交回升至約 14.4%。牛熊證街貨最新比例為 57:43，現價上下各 1000 點區間的牛熊比例也是 44:56。重貨區方面，熊證仍在 28900-28949，牛證也不變在 28300-28349。恆指期貨夜市收報 28388 點，下跌 198 點，低水 206 點。港股 ADR 下跌 227 點，相等於恆指 28367 點。
8,"縱然受到聯準會暗示今年均不升息、全球景氣惡化隱憂以及川普談話言論等利空消息，但台股仍堅持走自己的路，開高震盪走高續創波段新高，站上 10,600 點大關，寫下 5 個月新高。即便昨日期貨已結算完畢，主力偏多的心態仍未動搖，電子權值股由台積電、南亞科、鴻海及聯發科發動攻勢；而中小型股表現也相當強勢，同時在台幣持續升值下，終場台股收漲 57 點。"
9,期貨走勢台指期週五下跌 60 點至 10201 點。價差方面，台指期逆價差縮至 - 40.75 點，電子期逆價差縮至 - 1.42 點，金融期轉為正價差 0.9 點。現貨部分，三大法人賣超 116.49 億元；而在台指期淨部位方面，三大法人淨多單減少 2922 口至 24719 口，其中外資多單減碼且空單加碼，淨多單減少 2593 口至 56200 口；十大交易人中的特定法人全月份台指期淨多單減少 2928 口至 25600 口。週四美股三大指數持續下挫，引發亞股全面調節賣壓出籠，週五台股以下跌 37 點開出，盤面上權值股走勢疲弱，蘋概三王盤中跌幅均超過 1%，加上陸股開盤後重挫打擊多頭信心，快速壓低指數一度下跌逾百點回測月線關卡，不過隨後逢低買盤進場，指數未在持續破低，終場加權指數下跌 69.93 點或 0.678%，收在 10241.75 點，成交量能 1049.54 億，較前一日縮減 38.7 億。今日八大類股漲跌互見，其中以營建類股漲幅 0.43% 表現較佳，食品類股跌幅 1.35% 表現較差。今日加權指數受國際股市表現不佳衝擊量縮下跌，但回測月線有守並留長下影線，顯示下檔仍有支撐買盤力道浮現，但外資現貨持續賣超，期貨方面轉為減碼多單，短線指數為高檔震盪格局，操作上需留意風險，並持續觀察外資及國際股匯市動向。選擇權分析月選擇權未平倉量觀察，OI 最大量支撐壓力區維持在 10000~10500 點，不過 Call 的 OI 有向 10300、10400 靠攏下移跡象。全月份未平倉量 put/call ratio 值由 1.36 降至 1.27，連兩日下降。整體選擇權數據顯示偏多架構持續降溫。   (永豐期貨研調)月選擇權未平倉量觀察，OI 最大量支撐壓力區維持在 10000~10500 點，不過 Call 的 OI 有向 10300、10400 靠攏下移跡象。全月份未平倉量 put/call ratio 值由 1.36 降至 1.27，連兩日下降。整體選擇權數據顯示偏多架構持續降溫。   (永豐期貨研調)本投資研究報告由永豐期貨股份有限公司版權所有，未經授權，禁止轉載節錄。本資料內容僅供參考，客戶應審慎考量本身之需求與投資風險，本公司恕不負任何法律責任，亦不作任何保證。
