ID,Content
0,期貨走勢台指期週二上漲 38 點至 10678 點。價差方面，台指期逆價差擴至 - 12.3 點，電子期逆價差縮至 - 0.13 點，金融期轉為逆價差 - 0.88 點。現貨部分，三大法人買超 93.54 億元；而在台指期淨部位方面，三大法人淨多單增加 1085 口至 28471 口，其中外資多單加碼且空單減碼，淨多單增加 1441 口至 60207 口；十大交易人中的特定法人全月份台指期淨多單增加 4146 口至 21723 口。選擇權分析全月份未平倉量 put/call ratio 值由 1.54 升至 1.58，大於中性值 1，反應籌碼面為偏多架構。而外資與自營都呈現加碼賣出 Put 的操作方式。VIX 指數下降 0.32 至 13.32。多項選擇權籌碼面顯示市場樂觀情緒較高。明日適逢週選擇權結算，OI 最大量支撐壓力區縮窄至 10650~10700 點，且 10650~10750 三個履約價 call 的 OI 平均高達 2.5 萬口，因此若國際上未發生重大變動，結算行情呈現高檔震盪整理機會相對較大。   (永豐期貨研調)全月份未平倉量 put/call ratio 值由 1.54 升至 1.58，大於中性值 1，反應籌碼面為偏多架構。而外資與自營都呈現加碼賣出 Put 的操作方式。VIX 指數下降 0.32 至 13.32。多項選擇權籌碼面顯示市場樂觀情緒較高。明日適逢週選擇權結算，OI 最大量支撐壓力區縮窄至 10650~10700 點，且 10650~10750 三個履約價 call 的 OI 平均高達 2.5 萬口，因此若國際上未發生重大變動，結算行情呈現高檔震盪整理機會相對較大。   (永豐期貨研調)本投資研究報告由永豐期貨股份有限公司版權所有，未經授權，禁止轉載節錄。本資料內容僅供參考，客戶應審慎考量本身之需求與投資風險，本公司恕不負任何法律責任，亦不作任何保證。
1,期貨走勢台指期週四上漲 67 點至 10323 點。價差方面，台指期轉為正價差 3.47 點，電子期逆價差縮至 - 0.12 點，金融期轉為正價差 0.39 點。現貨部分，三大法人買超 52.29 億元；而在台指期淨部位方面，三大法人淨多單增加 1592 口至 36140 口，其中外資空單減碼超過多單減碼，淨多單增加 447 口至 65794 口；十大交易人中的特定法人全月份台指期淨多單減少 849 口至 34494 口。選擇權分析選擇權從成交量來觀察，買權集中在 10500 點，賣權集中在 10000 點。選擇權未平倉量部分，買權未平倉最大量集中在 10400 點，賣權未平倉最大量集中在 10000 點。全月份未平倉量 put/call ratio 值由 1.48 升至 1.52，大於中性值 1，反應籌碼面為偏多架構。買權平均隱含波動率由 11.59% 降至 11.3%，賣權平均隱含波動率由 15.14% 降至 14.67%，買賣權皆降。選擇權部位整體來看顯示為中性偏多格局。   (永豐期貨研調)選擇權從成交量來觀察，買權集中在 10500 點，賣權集中在 10000 點。選擇權未平倉量部分，買權未平倉最大量集中在 10400 點，賣權未平倉最大量集中在 10000 點。全月份未平倉量 put/call ratio 值由 1.48 升至 1.52，大於中性值 1，反應籌碼面為偏多架構。買權平均隱含波動率由 11.59% 降至 11.3%，賣權平均隱含波動率由 15.14% 降至 14.67%，買賣權皆降。選擇權部位整體來看顯示為中性偏多格局。   (永豐期貨研調)本投資研究報告由永豐期貨股份有限公司版權所有，未經授權，禁止轉載節錄。本資料內容僅供參考，客戶應審慎考量本身之需求與投資風險，本公司恕不負任何法律責任，亦不作任何保證。
2,期貨走勢台指期週三上漲 1 點至 10085 點。價差方面，台指期逆價差縮至 - 5.58 點，電子期轉為正價差 0.25 點，金融期逆價差擴至 - 1.51 點。現貨部分，三大法人買超 113.76 億元；而在台指期淨部位方面，三大法人淨多單增加 6433 口至 32549 口，其中外資多單加碼且空單減碼，淨多單增加 5086 口至 57992 口；十大交易人中的特定法人全月份台指期淨多單增加 3014 口至 27844 口。選擇權分析選擇權未平倉量部分，買權 OI 最大量集中在 10200 點，賣權未平倉最大量集中在 9900 點。全月份未平倉量 put/call ratio 值由 1.45 降至 1.34，不過這主要是來自於第二週選擇權結算導致，整體而言，今日選擇權仍屬於中性偏多格局。   (永豐期貨研調)選擇權未平倉量部分，買權 OI 最大量集中在 10200 點，賣權未平倉最大量集中在 9900 點。全月份未平倉量 put/call ratio 值由 1.45 降至 1.34，不過這主要是來自於第二週選擇權結算導致，整體而言，今日選擇權仍屬於中性偏多格局。   (永豐期貨研調)本投資研究報告由永豐期貨股份有限公司版權所有，未經授權，禁止轉載節錄。本資料內容僅供參考，客戶應審慎考量本身之需求與投資風險，本公司恕不負任何法律責任，亦不作任何保證。
3,◆期貨走勢台指期週四上漲 66 點至 10707 點。價差方面，台指期逆價差縮至 - 68.9 點，電子期逆價差縮至 - 2.57 點，金融期逆價差縮至 - 13.34 點。現貨部分，三大法人賣超 10.49 億元；而在台指期淨部位方面，三大法人淨多單增加 2220 口至 15420 口，其中外資空單減碼超過多單減碼，淨多單增加 405 口至 42847 口；十大交易人中的特定法人全月份台指期淨多單增加 289 口至 10804 口。◆選擇權分析選擇權未平倉量部分，買權未平倉最大量集中在 10800 點，賣權未平倉最大量集中在 10200 點。全月份未平倉量 put/call ratio 值由 1.05 升至 1.14，反應籌碼面為偏多架構。VIX 指數小幅上升 0.58 至 13.63。整體選擇權籌碼面仍為中性格局。   (永豐期貨研調)選擇權未平倉量部分，買權未平倉最大量集中在 10800 點，賣權未平倉最大量集中在 10200 點。全月份未平倉量 put/call ratio 值由 1.05 升至 1.14，反應籌碼面為偏多架構。VIX 指數小幅上升 0.58 至 13.63。整體選擇權籌碼面仍為中性格局。   (永豐期貨研調)本投資研究報告由永豐期貨股份有限公司版權所有，未經授權，禁止轉載節錄。本資料內容僅供參考，客戶應審慎考量本身之需求與投資風險，本公司恕不負任何法律責任，亦不作任何保證。
4,◆期貨走勢台指期週二上漲 19 點至 10952 點。價差方面，台指期逆價差擴至 - 15.73 點，電子期逆價差擴至 - 1.09 點，金融期轉為逆價差 - 0.09 點。現貨部分，三大法人買超 20.41 億元；而在台指期淨部位方面，三大法人淨多單增加 3842 口至 27730 口，其中外資多單加碼且空單減碼，淨多單增加 1306 口至 57754 口；十大交易人中的特定法人全月份台指期淨多單增加 417 口至 24781 口。◆選擇權分析選擇權未平倉量部分，OI 最大量支撐壓力區集中在 10600~11200 點。全月份未平倉量 put/call ratio 值由 1.28 降至 1.27。外資在選擇權部位變化不大，而自營則持續擴大賣 Call 買 Put 的偏空態度。整體選擇權籌碼面降溫至中性架構   (永豐期貨研調)選擇權未平倉量部分，OI 最大量支撐壓力區集中在 10600~11200 點。全月份未平倉量 put/call ratio 值由 1.28 降至 1.27。外資在選擇權部位變化不大，而自營則持續擴大賣 Call 買 Put 的偏空態度。整體選擇權籌碼面降溫至中性架構   (永豐期貨研調)◇本投資研究報告由永豐期貨股份有限公司版權所有，未經授權，禁止轉載節錄。本資料內容僅供參考，客戶應審慎考量本身之需求與投資風險，本公司恕不負任何法律責任，亦不作任何保證。
5,2020 新的一年中東美伊情勢風雲色變、1/11 台灣總統選舉、1/15 中美雙方將簽署第一階段貿易協議，一連串的事件全球不論是風險型的資產或非風險型的資產波動都同步放大，選擇權商品同時兼具投資與保險的功能，就是可以多加運用的工具，我們提供一種適合新手、喜歡投機又缺乏風險意識的投資人或者是市場詭譎多變，波動異常放大時適合的交易策略～保險式操作策略。保險式操作策略是指看多買進期貨的同時，擔心下跌風險，同時買進賣權（Put）做為保護，反之，看空時賣出期貨，害怕看錯行情卻大漲，同時買進買權（Call）做為保護，方向看對的時候，兩者都先以期貨當作是低買高賣賺取價差方式，期貨以選擇權支出權利金為獲利目標，期貨賺到錢，選擇權就是免費的了，就可以靠它再來賺取市場發生其他意外的利潤，而且心裡沒有負擔，而且還可以當作是下一筆交易的保險，可重複應用，直到選擇權到期為止。保險式操作策略是指看多買進期貨的同時，擔心下跌風險，同時買進賣權（Put）做為保護，反之，看空時賣出期貨，害怕看錯行情卻大漲，同時買進買權（Call）做為保護，方向看對的時候，兩者都先以期貨當作是低買高賣賺取價差方式，期貨以選擇權支出權利金為獲利目標，期貨賺到錢，選擇權就是免費的了，就可以靠它再來賺取市場發生其他意外的利潤，而且心裡沒有負擔，而且還可以當作是下一筆交易的保險，可重複應用，直到選擇權到期為止。群益期貨自媒體官網：https://media.capitalfutures.com.tw/index
6,◆期貨走勢台指期週五上漲 11 點至 10718 點。價差方面，台指期逆價差縮至 - 67.73 點，電子期逆價差擴至 - 3.01 點，金融期逆價差縮至 - 10.9 點。現貨部分，三大法人買超 10.65 億元；而在台指期淨部位方面，三大法人淨多單減少 1086 口至 14334 口，其中外資多單減碼超過空單減碼，淨多單減少 764 口至 42083 口；十大交易人中的特定法人全月份台指期淨多單增加 364 口至 11168 口。◆選擇權分析週選擇權未平倉最大量支撐壓力區由 10650~10900 縮至 10650~10850 點，上檔壓力下移。全月份未平倉量 put/call ratio 值維持 1.14。VIX 指數下降 0.1 至 12.76。各項數據較無明顯方向，整體選擇權籌碼面維持中性格局。   (永豐期貨研調)週選擇權未平倉最大量支撐壓力區由 10650~10900 縮至 10650~10850 點，上檔壓力下移。全月份未平倉量 put/call ratio 值維持 1.14。VIX 指數下降 0.1 至 12.76。各項數據較無明顯方向，整體選擇權籌碼面維持中性格局。   (永豐期貨研調)◇本投資研究報告由永豐期貨股份有限公司版權所有，未經授權，禁止轉載節錄。本資料內容僅供參考，客戶應審慎考量本身之需求與投資風險，本公司恕不負任何法律責任，亦不作任何保證。
7,外資現貨買超 58 億，期貨淨多單增加至 62779 口。自營商選擇權淨部位，今日以買買權和賣賣權作布局。四月選擇權籌碼呈現偏多格局，賣權 OI 大於買權 OI 之差距為十四萬餘口，買權 OI 增量明顯不足。週選方面，賣權 OI 增量呈現積極大增，目前多方再度表態。外資現貨買超 58 億，期貨淨多單增加至 62779 口。自營商選擇權淨部位，今日以買買權和賣賣權作布局。四月選擇權籌碼呈現偏多格局，賣權 OI 大於買權 OI 之差距為十四萬餘口，買權 OI 增量明顯不足。週選方面，賣權 OI 增量呈現積極大增，目前多方再度表態。綜合以上，外資期現貨同步作多，自營商選擇權中性偏多，月、週選偏多態勢，整體籌碼面偏多格局。技術面今日台股出現量價齊揚，目前回到上檔整理壓力區位置，短線在台積電壓縮後呈現走揚下，台股震盪偏多不變。
8,美股創高，大盤可攻而不攻，一切攏是為了明天 7 月份台指期與選擇權結算，目前最大未平倉量 10800 與 10900 點。外資放暑假去，並無太大著墨，期貨市場今減 5316 口多單。明日除非出大量衝過 10900 點，否則也不會有多大激情。美股創高，大盤可攻而不攻，一切攏是為了明天 7 月份台指期與選擇權結算，目前最大未平倉量 10800 與 10900 點。外資放暑假去，並無太大著墨，期貨市場今減 5316 口多單。明日除非出大量衝過 10900 點，否則也不會有多大激情。美股創高，大盤可攻而不攻，一切攏是為了明天 7 月份台指期與選擇權結算，目前最大未平倉量 10800 與 10900 點。外資放暑假去，並無太大著墨，期貨市場今減 5316 口多單。明日除非出大量衝過 10900 點，否則也不會有多大激情。
9,"期貨走勢台指期週二上漲 23 點至 10501 點。價差方面，台指期逆價差縮至 - 11.32 點，電子期逆價差縮至 - 0.76 點，金融期轉為正價差 0.81 點。現貨部分，三大法人買超 20.38 億元；而在台指期淨部位方面，三大法人淨多單增加 131 口至 31509 口，其中外資多單加碼超過空單加碼，淨多單增加 1309 口至 57383 口；十大交易人中的特定法人全月份台指期淨多單增加 28 口至 22054 口。美股四大指數多數收高，蘋果意外推出新產品，激勵相關類股走高，帶動道瓊指數震盪收紅，並保持連四日上漲態勢，但今日亞洲主要股市表現平淡，帶動台指期開平後一度翻黑走跌，連帶現貨早盤隨著亞股跌勢一度跌破 10500 點，加上中國股市在週一大漲後週二開盤隨即在盤下震盪，連帶台股盤中始終在 10500 點附近狹幅震盪，所幸金融股受惠外資調升買進評等消息整體族群漲勢整齊，加上新 ipad 意外發表帶動蘋概相關類股在 GIS 與 TPK 帶動下續強，搭配美林科技論壇周二登場，相關個股也有不錯表現。終場加權指數下跌 0.38 點或 0.00%，收在 10,512.32 點，成交量能 1,146.9 億，較前一日縮減 14.12 億。技術面來看，周二指數一度回測 10500 點整數大關有守，且日 KD 指標持續黃金交叉向上，MACD 指標也再次黃金交叉，但指數短線漲多且與重要均線乖離率不斷擴大，技術面追高風險持續累積仍不建議過度追價。選擇權分析選擇權從成交量來觀察，買權集中在 10500 點，賣權集中在 10450 點。選擇權未平倉量部分，買權未平倉最大量集中在 10500 點，賣權未平倉最大量集中在 10200 點。全月份未平倉量 put/call ratio 值由 1.39 升至 1.44，大於中性值 1，反應籌碼面為偏多架構。買權平均隱含波動率由 14.45% 升至 16.24%，賣權平均隱含波動率由 17.6% 升至 20.52%，買賣權皆升。選擇權部位整體來看顯示為中性格局。   (永豐期貨研調)選擇權從成交量來觀察，買權集中在 10500 點，賣權集中在 10450 點。選擇權未平倉量部分，買權未平倉最大量集中在 10500 點，賣權未平倉最大量集中在 10200 點。全月份未平倉量 put/call ratio 值由 1.39 升至 1.44，大於中性值 1，反應籌碼面為偏多架構。買權平均隱含波動率由 14.45% 升至 16.24%，賣權平均隱含波動率由 17.6% 升至 20.52%，買賣權皆升。選擇權部位整體來看顯示為中性格局。   (永豐期貨研調)本投資研究報告由永豐期貨股份有限公司版權所有，未經授權，禁止轉載節錄。本資料內容僅供參考，客戶應審慎考量本身之需求與投資風險，本公司恕不負任何法律責任，亦不作任何保證。"
